impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K22-143777,A657262,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2391367,In Public Home,Steve,Dog,Over 1 year<p/>,Female,Labrador Retriever,Brown,"Jan 28, 2022",Date Found,1ST  AVE S AND S WASHINGTON,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2391367,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Found Near: 1st Ave S and S Washington , Seattle WA  98104<p/>Found Date: 2022-01-28<p/>",
K22-143655,A657021,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389359,LOST,Willow,Dog,Over 1 year<p/>,Female,Australian Shepherd,Black,"Jan 30, 2022",Date Lost,SHERWIN-WILLIAMS  PAINT STORE,18014 REDMOND WAY BLDG A REDMOND,WA,98052,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389359,Image Copyright HLP Inc. 2022,"Description: Mini Aussie with black marble coat <p/>Age: Over 1 year<p/>Location Lost: Sherwin-Williams Paint Store, 18014 Redmond Way Bldg A, Redmond, WA 98052, Redmond WA  98052<p/>Lost Date: 2022-01-30<p/>",
K22-143994,A657868,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A657868,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dolly,Cat,10 MONTHS,Spayed Female,Domestic Shorthair,Black / White,"Feb 13, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657868,Image Copyright HLP Inc. 2022,"Received on: 2022-02-13<p/> Description: Black / White<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 10 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Dolly and I am available for adoption.<p/><p/>I was brought in by a good samaritan on February 13, 2022.<p/><p/>I probably got your attention by my beautiful meows calling you over!<p/><p/>I am a pretty simple and easy going gal that just want your love and attention.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/>",GREEN
K22-143871,A657487,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2393065,LOST,Pancake,Cat,Over 1 year<p/>,Unknown,Domestic Mediumhair,Unknown,"Feb 06, 2022",Date Lost,18100 block of  NE 23RD ST,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2393065,Image Copyright HLP Inc. 2022,"Description: Very sweet orange and white 20lbs, thick fur. Please see photos below<p/>Age: Over 1 year<p/>Location Lost: 18114 NE 23rd St., Redmond WA  98052<p/>Lost Date: 2022-02-06<p/>",
K22-143164,A655788,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2379116,LOST,Schmoe-Moe,Cat,Over 1 year<p/>,Neutered Male,Domestic Shorthair,Black,"Jan 07, 2022",Date Lost,I-5N  M.P.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2379116,Image Copyright HLP Inc. 2022,"Description: BLACK & WHITE TUXEDO MALE CAT. BLACK TOP MAIN COAT WITH WHITE UNDER BELLY CONTINUING UP COVERING HIS CHIN. HASWHITE BOTH MITTENS AND ""THIGH HIGHS"" WITH ONE BLACK SPOT ON HIS BACK LEFT LEG. SKITTISH TO BOTH LOUD NOISES AND FAST MOVEMENTS. SHYS AWAY FROM MEN initially BUT WILL WARM UP QUICKLY IF CALMLY APPROACHED. WILL SELL SOUL FOR WET CAN OF CAT FOOD. <p/>Age: Over 1 year<p/>Location Lost: I-5N M.P. 139, Lakewood WA  98499<p/>Lost Date: 2022-01-07<p/>",
K22-143291,A656136,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Bun-Be-Leaf-Able,Lop-Holland,2 YEARS,Spayed Female,Lop-Holland,Brown,"Jan 14, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,COVINGTON,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656136,Image Copyright HLP Inc. 2022,"Received on: 2022-01-14<p/> Description: Brown Spayed Female Lop-Holland Lop-Holland<p/> Age: 2 YEARS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Bun-be-leaf-able and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 1/14/22.<p/><p/>My personality color is BLUE. I am a gentle and loving bunny who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>Note about Rabbits:<p/><p/>Rabbits are intelligent and complex animals who do well in families with humans who understand that they are prey animals, and do not enjoy being picked up or held. The best way to bond with me is to spend time with me on the floor, and shower me with plenty of greens and timothy hay! <p/><p/>I am a domestic rabbit and it is recommend that adopters keep me indoors. The nice thing about having an indoor rabbit is that I can come out of my cage for bunny playtime, in a rabbit proof area of the home. It's during this supervised playtime that rabbits often exhibit some of our most fun and interesting behaviors!<p/><p/>I would love a family who will interact with me daily to keep me active and social! When rabbits get the space and enrichment we need, we often form deep bonds with our humans!<p/><p/>",BLUE
K22-143362,A656303,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2383271,In Public Home,Sean Mchugh,Dog,Unknown<p/>,Female,Labrador Retriever,Brown,"Jan 16, 2022",Date Found,212TH  AVE AND 400TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2383271,Image Copyright HLP Inc. 2022,"<p/>Age: Unknown<p/>Found Near: 212th Ave and 400th St, Auburn WA  98092<p/>Found Date: 2022-01-16<p/>",
K22-143634,A656976,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A656976,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Charlemagne,Bird,NO AGE,Male,Quail,Brown / White,"Jan 30, 2022",Received on,900 block of  PARK AVE N,RENTON,WA,98057,RENTON,47.497568,-122.202012,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656976,Image Copyright HLP Inc. 2022,"Received on: 2022-01-30<p/> Found Near: 900 block of  PARK AVE N<p/> Description: Brown / White Male Quail Bird<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K22-143422,A656434,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A656434,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Beaux,Guinea Pig,NO AGE,Male,Guinea Pig,White / Gray,"Jan 20, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656434,Image Copyright HLP Inc. 2022,"Received on: 2022-01-20<p/> Description: White / Gray<p/>  Male Guinea Pig Guinea Pig<p/> Age: NO AGE<p/> Adoption Fee: $5.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Beax and I am available for adoption.<p/><p/>I was brought in by my previous owner on 1/20/22 because they could no longer care for me. My previous owner described me as a talker and shy of loud noises. <p/><p/>My personality color is BLUE. I am a gentle and loving guinea pig who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. <p/><p/><p/>",BLUE
K22-143223,A656049,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2380644,In Public Home,,Dog,Unknown<p/>,Female,Chihuahua - Smooth Coated,Brown,"Jan 12, 2022",Date Found,S  102ND ST. AND OCCIDENTAL AVE. S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2380644,Image Copyright HLP Inc. 2022,"Description: A small chihuahua mix (possibly corgi or shiba inu) that has a thick double coat of fur that is sable (brown with black tips) and a long tail. She’s about 10 pounds and seems young, but unknown age. Shows no aggression and is extremely friendly to humans. No collar and no microchip.<p/>Age: Unknown<p/>Found Near: S 102nd St. and Occidental Ave. S, Seattle WA  98168<p/>Found Date: 2022-01-12<p/>",
K22-144023,A657992,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2396301,LOST,Santa Clause,Dog,Under 1 year<p/>,Male,Great Dane,White,"Feb 14, 2022",Date Lost,29200 block of  THOMAS RD SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2396301,Image Copyright HLP Inc. 2022,"Description: Santa Clause is a white with black spot male. He is missing with his sister, Harika, she is an anatolian.<p/>Age: Under 1 year<p/>Location Lost: 29224 Thomas Rd se, Kent WA  98042<p/>Lost Date: 2022-02-14<p/>",
K22-144093,A658219,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A658219,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,NO AGE,Male,German Shepherd,Black / Tan,"Feb 18, 2022",Received on,4000 block of  S 152ND ST,TUKWILA,WA,98188,TUKWILA,47.466931,-122.283529,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A658219,Image Copyright HLP Inc. 2022,"Received on: 2022-02-18<p/> Found Near: 4000 block of  S 152ND ST<p/> Description: Black / Tan Male German Shepherd Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K21-139945,A566088,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Wednesday,Cat,3 YEARS 7 MONTHS,Spayed Female,Domestic Shorthair,Chocolate / Blk Tabby,"Mar 31, 2021",Received on,21615 64TH AVE S,KENT,WA,98032,MAPLE VALLEY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A566088,Image Copyright HLP Inc. 2022,"Received on: 2021-03-31<p/> Description: Chocolate / Blk Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 3 YEARS 7 MONTHS<p/> Adoption Fee: $15.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Wednesday and I am available for adoption.<p/><p/>I was brought in by my previous owner on 3/31/21 because I have skin issues and they could no longer care for me. My previous owner described me as very sweet, shy and loving.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home! I have really opened up in my time at the shelter and am very sweet with the staff. I also have the absolute cutest face EVER! I have also lived in a home with other cats and i do well with them. <p/><p/>Because I have skin issues, I have been medicated frequently and now I am a little sensitive when people try to touch my head. When meeting me i would do best if you talked with me first then tried petting me. <p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/><p/>",RED
K22-143746,A657171,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2390661,LOST,Koko,Dog,Over 1 year<p/>,Female,Chihuahua - Smooth Coated,Brown,"Feb 01, 2022",Date Lost,30100 block of  61ST AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2390661,Image Copyright HLP Inc. 2022,"Description: brown and some black. mixed with shiatzu<p/>Age: Over 1 year<p/>Location Lost: 30139 61st ave s, Auburn WA  98001<p/>Lost Date: 2022-02-01<p/>",
K22-143605,A656931,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2388470,In Public Home,Kc,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Jan 25, 2022",Date Found,NORTH  183RD STREET AND WALLINGFORD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2388470,Image Copyright HLP Inc. 2022,"Description: Male fixed yellow tabby Found near 183rd Street and Wallingford in Shoreline. He is very friendly, likes to roll over for belly rubs. On the chunky side. Not skittish and fine with dogs. Has a Petlink microchip that is not registered. <p/>Age: Over 1 year<p/>Found Near: North 183rd Street and Wallingford, Seattle WA  98133<p/>Found Date: 2022-01-25<p/>",
K22-143415,A656405,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2384220,LOST,Enzo,Cat,Under 1 year<p/>,Male,American Shorthair,Unknown,"Jan 16, 2022",Date Lost,MAY  VALLEY ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2384220,Image Copyright HLP Inc. 2022,"Description: 3 month old American shorthair crossed for the Russian blue very sweet but would be very scared<p/>Age: Under 1 year<p/>Location Lost: May valley road, Issaquah WA  98027<p/>Lost Date: 2022-01-16<p/>",
K22-143491,A656703,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A656703,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Buddy,Dog,4 YEARS,Neutered Male,Chow Chow,Brown,"Jan 24, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656703,Image Copyright HLP Inc. 2022,"Received on: 2022-01-24<p/> Description: Brown<p/>  Neutered Male Chow Chow Dog<p/> Age: 4 YEARS<p/> Adoption Fee: $225.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Buddy and I am available for adoption. I weigh 72 pounds.<p/><p/>I was brought in by a good Samaritan on JAnuary 24, 2022.<p/><p/>I am an affectionate lovebug who would be thrilled tohang out with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>I would do best in a home with older children.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",RED
K22-143323,A656188,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2382249,LOST,Blaze,Cat,Over 1 year<p/>,Male,American Shorthair,Unknown,"Jan 11, 2022",Date Lost,9800 block of  S 222ND ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2382249,Image Copyright HLP Inc. 2022,"Description: Blaze is a grey stripped short hair with a bushy tail . He is very fat and doesnt like strangers too much. He comes to blaze or kitty boy. Hes probably taken off his collar by now so i doubt it will help. He is not fixed. <p/>Age: Over 1 year<p/>Location Lost: 9845 s 222nd st, Kent WA  98031<p/>Lost Date: 2022-01-11<p/>",
K22-143911,A657625,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2393957,LOST,Justina Maur,Dog,Over 1 year<p/>,Female,American Pit Bull Terrier,Unknown,"Feb 08, 2022",Date Lost,192ND  AND KENTKANGLEY,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2393957,Image Copyright HLP Inc. 2022,"Description: Grey and white American Staffordshire Terrier. Answers to Honey<p/>Age: Over 1 year<p/>Location Lost: 192nd and KentKangley, Kent WA  98042<p/>Lost Date: 2022-02-08<p/>",
K22-143759,A657222,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2391131,LOST,Jack,Dog,Over 1 year<p/>,Male,Labrador Retriever,Black,"Feb 02, 2022",Date Lost,31900 block of  176TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2391131,Image Copyright HLP Inc. 2022,"Description: Gentle giant - super friendly large black lab - had a green rubber collar on with name tag incl. phone number<p/>Age: Over 1 year<p/>Location Lost: 31915 176th Ave SE, Auburn WA  98092<p/>Lost Date: 2022-02-02<p/>",
K22-143676,A657044,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Cookie,Guinea Pig,NO AGE,Female,Guinea Pig,Tricolor,"Jan 31, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A657044,Image Copyright HLP Inc. 2022,"Received on: 2022-01-31<p/> Description: Tricolor Female Guinea Pig Guinea Pig<p/> Age: NO AGE<p/> Adoption Fee: $15.00<p/> Current Location: In RASKC Foster Home <p/>Guinea pigs are intelligent and complex creatures who do well in families with humans who understand that they are prey animals, and do not enjoy being picked up or held. The best way to bond with me is to spend time with me on the floor, and shower me with plenty of greens and timothy hay!<p/><p/>I am a domestic guinea pig and it is recommend that adopters keep me indoors. I stay clean and rarely need baths, so I'd be a perfect pet for a small animal lover!<p/><p/>I would love a family who will interact with me daily to keep me active and social! When rabbits get the space and enrichment we need, we often form deep bonds with our humans!<p/>",
K22-143543,A656814,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2387094,LOST,Luna,Cat,Over 1 year<p/>,Female,Korat,Unknown,"Jan 24, 2022",Date Lost,1240112600 block of  SE 221ST PL KENT,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2387094,Image Copyright HLP Inc. 2022,"Description: Pink collar with a name tag and grey medium hair <p/>Age: Over 1 year<p/>Location Lost: 12401–12601 SE 221st Pl Kent, Kent WA  98031<p/>Lost Date: 2022-01-24<p/>",
K22-143174,A655821,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2379246,LOST,Tommy,Dog,Over 1 year<p/>,Male,Labrador Retriever,Black,"Jan 08, 2022",Date Lost,NE  179TH STREET AND PARADISE LAKE ROAD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2379246,Image Copyright HLP Inc. 2022,"Description: Older (15 yrs) black lab with grey face, docked tail. About 70 pounds<p/>Age: Over 1 year<p/>Location Lost: NE 179th Street and Paradise Lake Road, Woodinville WA  98077<p/>Lost Date: 2022-01-08<p/>",
K22-143309,A656162,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2381778,In Public Home,,Dog,Unknown<p/>,Male,Samoyed,White,"Jan 15, 2022",Date Found,116TH  AVE SE AND 252ND PL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2381778,Image Copyright HLP Inc. 2022,"<p/>Age: Unknown<p/>Found Near: 116th Ave SE and 252nd PL, Kent WA  98030<p/>Found Date: 2022-01-15<p/>",
K21-142927,A655287,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A655287,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Avatar,Dog,4 YEARS 1 MONTH,Neutered Male,Pit Bull,Blue / White,"Dec 30, 2021",Received on,14900 block of  SE 272ND ST,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A655287,Image Copyright HLP Inc. 2022,"Received on: 2021-12-30<p/> Found Near: 14900 block of  SE 272ND ST<p/> Description: Blue / White Neutered Male Pit Bull Dog<p/> Age: 4 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K22-143689,A657058,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2389694,LOST,Teddy,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jan 24, 2022",Date Lost,SE  230TH ST & 132ND AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2389694,Image Copyright HLP Inc. 2022,"Description: She's a brown, white& tan Tabby <p/>Age: Over 1 year<p/>Location Lost: SE 230th St & 132nd Ave Se, Kent WA  98042<p/>Lost Date: 2022-01-24<p/>",
K22-144072,A654760,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A654760,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Miska,Cat,8 YEARS 2 MONTHS,Spayed Female,Domestic Shorthair,Tortie / Brn Tabby,"Feb 17, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A654760,Image Copyright HLP Inc. 2022,"Received on: 2022-02-17<p/> Description: Tortie / Brn Tabby<p/>  Spayed Female Domestic Shorthair Cat<p/> Age: 8 YEARS 2 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Holly and I am available for adoption.<p/><p/>I was brought in by a very sweet Samaritan on 12/17/2021.<p/><p/> I am an affectionate lovebug who would be thrilled to cuddle up with you at home in front of a warm fire!<p/><p/>  My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K22-143870,A656558,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A656558,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Helmer,Dog,2 YEARS,Neutered Male,Australian Cattle Dog / Australian Kelpie,White / Black,"Feb 07, 2022",Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A656558,Image Copyright HLP Inc. 2022,"Received on: 2022-02-07<p/> Description: White / Black<p/>  Neutered Male Australian Cattle Dog / Australian Kelpie Dog<p/> Age: 2 YEARS<p/> Adoption Fee: $200.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Helmer and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on 01/21/2022.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"", ""stay"", ""come"", ""down"" and ""shake"".<p/><p/>I am an independent dog who likes to do my own thing!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home, with adults only.<p/><p/>My caregivers have noticed that I seem to do well with other my size that are calm. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I have been known to resource guard, meaning that I am displaying behavior that is intended to convince other dogs or humans to stay away from a particular treasure or ""resource."" The resource that I tend to guard is high value treats/toys. If you take me home you will benefit from in home guidance to help to manage and improve this behavior.<p/>",RED
K20-132029,A623606,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2191003,LOST,Bubbleton,Dog,Over 1 year<p/>,Male,Pomeranian,Unknown,"Oct 23, 2020",Date Lost,AIRPORT  RD. EVERETT WA,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2191003,Image Copyright HLP Inc. 2022,Description: He is blind and disabled may be agreesive<p/>Age: Over 1 year<p/>Location Lost: Airport rd. Everett WA<p/>Lost Date: 10/21/2022<p/>Owner Address: 12433 Admiralty way Everett WA 98204<p/>,
K22-143978,A657846,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2395525,In Public Home,Robert M Hin,,Unknown<p/>,Unknown,,Unknown,"Feb 12, 2022",Date Found,19200 block of  18TH AVENUE NORTHEAST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2395525,Image Copyright HLP Inc. 2022,"Description: Found at night in my driveway. Grayish coat with floppy ears, possibly and English Lop. Definitely not a native species and is domesticated. Shy but friendly toward humans. <p/>Age: Unknown<p/>Found Near: 19200 block of  18TH AVENUE NORTHEAST<p/>Found Date: 2022-02-12<p/>",
K22-143352,A656282,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2383090,LOST,Brock,Dog,Over 1 year<p/>,Male,Labrador Retriever,Black,"Jan 18, 2022",Date Lost,SE  256TH ST 164TH AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2383090,Image Copyright HLP Inc. 2022,"Description: Brock is a black lab pit bull breed with black fire and was wearing a red colored cozy collar and a light blue flea collar.<p/>Age: Over 1 year<p/>Location Lost: Se 256th st 164th ave se, Kent WA  98042<p/>Lost Date: 2022-01-18<p/>",
K22-143340,A656245,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2382801,LOST,Manny,Dog,Over 1 year<p/>,Male,Shiba Inu,Unknown,"Jan 17, 2022",Date Lost,121ST  AND 280TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2382801,Image Copyright HLP Inc. 2022,"<p/>Age: Over 1 year<p/>Location Lost: 121st and 280th, Kent WA  98030<p/>Lost Date: Jan 17 202<p/>",
